Funcionário,Data Início Férias,Data Fim Férias
Francisco Correia,2025-11-03,2025-11-14
Ivan Monteiro,2025-11-17,2025-11-28
Paulo Melo,2025-12-01,2025-12-12
William da Reis,2025-12-15,2025-12-26
Rui Valente-Magalhães,2026-01-05,2026-01-16
Luciana Baptista,2026-01-19,2026-01-30
Clara Marques,2026-02-02,2026-02-13
João Coelho,2026-02-16,2026-02-27
Renata Monteiro-Sá,2026-03-02,2026-03-13
Isabela Silva,2026-03-16,2026-03-27
Xavier Alves,2026-04-06,2026-04-17
Ismael da Cardoso,2026-04-20,2026-05-01
Kévim Maia,2026-05-04,2026-05-15
Alícia Neto,2026-05-18,2026-05-29
Filipa Baptista,2026-06-01,2026-06-12
Jaime Simões,2026-06-15,2026-06-26
Daniel Pinho,2026-07-06,2026-07-17
Gonçalo Ramos-Ramos,2026-07-20,2026-07-31
Matias Domingues,2026-08-03,2026-08-14
Fábio Carneiro,2026-08-17,2026-08-28
Rui Leite,2026-09-07,2026-09-18
